video,match_beat,match_pnum,match_name,score,margin,second,prompt
beat_28_p04.mp4,beat_02,p02,beat_02_p02,0.2912,0.013,beat_08_p01,"Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. Final beat payoff: the frame is dominated by hand-drawn marker digits ""7,200 : 350"" stacked like a fraction, drawn in huge thick black strokes. A hand-drawn red-pencil-style circle (black hatch ring) rings the ratio. Below, a simple line drawing of one stick figure alone on a treadmill inside a room outline, with small text: ""ROOM FOR 350. 7,200 PAYING."" The rest of the frame is clean white board. Bold graphic impact, minimal elements, strong hatching under the fraction. 16:9 widescreen, black ink on white, confident sketch lines, documentary whiteboard style."
beat_24_p02.mp4,beat_05,p01,beat_05_p01,0.2414,0.0047,beat_24_p02,"﻿Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. The digits ""$86"" drawn in enormous bold black marker strokes on clean white board, centered in the frame, with rough edges and double-strokes for hand-drawn weight. Beneath, hand-lettered marker text: ""WHAT AMERICANS GUESS THEY SPEND EVERY MONTH"". A small doodled question mark floats beside the digits. Light hatching behind the number for emphasis. Clean minimal composition — the number is the whole story. 16:9 widescreen, black ink on white, documentary whiteboard sketch style."
beat_24_p01.mp4,beat_08,p01,beat_08_p01,0.3437,0.0023,beat_35_p01,"﻿Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. A long horizontal timeline drawn in black marker ink on white board, spanning the frame, with tick marks and hand-drawn years: ""1995"", ""2000"", ""2005"", ""2010"", ""2015"", ""2020"", ""2025"". Along the line, small sketch icons rise — a gym, a software box, a streaming card, a phone — each drawn as tiny evolving structures. At the end of the line, a hand-drawn arrow points to a bold caption: ""30 YEARS — BUILT IN PUBLIC"". Hatching beneath the timeline. 16:9 widescreen, black ink only, documentary diagram style."
beat_29_p01.mp4,beat_09,p01,beat_09_p01,0.311,0.0075,beat_13_p02,"﻿Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. A whiteboard sketch emphasizing the gym's physicality: a dumbbell rack, a bench press, a cable machine — drawn large in the foreground with detailed hatching on the metal and weight plates. Behind them, faintly, rows of machines recede. The frame shows that a gym is a *thing* you can walk around — unlike software. Small hand-drawn note: ""A PRODUCT YOU CAN SEE AND TOUCH."" 16:9 widescreen, black ink on white, documentary sketch style."
beat_32_p02.mp4,beat_09,p01,beat_09_p01,0.3367,0.0445,beat_61_p02,"﻿Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. A whiteboard sketch emphasizing the gym's physicality: a dumbbell rack, a bench press, a cable machine — drawn large in the foreground with detailed hatching on the metal and weight plates. Behind them, faintly, rows of machines recede. The frame shows that a gym is a *thing* you can walk around — unlike software. Small hand-drawn note: ""A PRODUCT YOU CAN SEE AND TOUCH."" 16:9 widescreen, black ink on white, documentary sketch style."
beat_34_p02.mp4,beat_09,p01,beat_09_p01,0.3299,0.0048,beat_11_p02,"﻿Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. A whiteboard sketch emphasizing the gym's physicality: a dumbbell rack, a bench press, a cable machine — drawn large in the foreground with detailed hatching on the metal and weight plates. Behind them, faintly, rows of machines recede. The frame shows that a gym is a *thing* you can walk around — unlike software. Small hand-drawn note: ""A PRODUCT YOU CAN SEE AND TOUCH."" 16:9 widescreen, black ink on white, documentary sketch style."
beat_34_p03.mp4,beat_09,p01,beat_09_p01,0.2828,0.0032,beat_11_p01,"﻿Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. A whiteboard sketch emphasizing the gym's physicality: a dumbbell rack, a bench press, a cable machine — drawn large in the foreground with detailed hatching on the metal and weight plates. Behind them, faintly, rows of machines recede. The frame shows that a gym is a *thing* you can walk around — unlike software. Small hand-drawn note: ""A PRODUCT YOU CAN SEE AND TOUCH."" 16:9 widescreen, black ink on white, documentary sketch style."
beat_33_p02.mp4,beat_10,p01,beat_10_p01,0.3182,0.0056,beat_09_p01,"﻿Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. A whiteboard chart drawn in black marker ink: a horizontal axis labeled ""PEOPLE"", a vertical axis labeled ""COST"". A perfectly flat hand-drawn line runs across the middle of the chart, labeled ""COST TO RUN THE GYM"". Small tick figures along the bottom axis: one figure, then ten, then a crowd — and the line stays flat. A hand-drawn note with an arrow: ""THE SAME. ALWAYS THE SAME."" 16:9 widescreen, black ink on white, documentary chart style."
beat_33_p05.mp4,beat_10,p02,beat_10_p02,0.2761,0.0181,beat_11_p02,"Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. A whiteboard payoff frame: a hand-drawn seesaw or balance — on one side, a flat stack of cost blocks labeled ""FIXED COSTS""; on the other, an arrow pointing up labeled ""EVERY EXTRA MEMBER"". Beneath the seesaw, hand-lettered marker text: ""COSTS ARE FIXED. MEMBERS ARE VARIABLE. WATCH WHAT THE EXTRA MEMBER DOES."" The frame sets up the next beat — pure profit until they turn up. 16:9, black ink on white, confident sketchy style."
beat_22_p01.mp4,beat_11,p02,beat_11_p02,0.2741,0.011,beat_11_p01,"Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. A whiteboard payoff frame: the empty gym again drawn in the background, faint. In the foreground, a hand-drawn equation: ""MEMBER WHO PAYS − MEMBER WHO COMES = PROFIT"". Below it, a second line: ""MEMBER WHO COMES = COST"". A large hand-drawn question mark floats over the equation, with a small stick figure thinking. Caption: ""SO WHO SHOULD THEY WANT IN THE DOOR?"" — leading to the ideal customer. 16:9, black marker ink on white, sketchy style."
beat_30_p03.mp4,beat_11,p02,beat_11_p02,0.2763,0.0056,beat_09_p01,"Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. A whiteboard payoff frame: the empty gym again drawn in the background, faint. In the foreground, a hand-drawn equation: ""MEMBER WHO PAYS − MEMBER WHO COMES = PROFIT"". Below it, a second line: ""MEMBER WHO COMES = COST"". A large hand-drawn question mark floats over the equation, with a small stick figure thinking. Caption: ""SO WHO SHOULD THEY WANT IN THE DOOR?"" — leading to the ideal customer. 16:9, black marker ink on white, sketchy style."
beat_27_p02.mp4,beat_13,p01,beat_13_p01,0.3103,0.0125,beat_60_p01,"﻿Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. A whiteboard sketch: a large pie chart drawn in bold black marker, split into two segments — a big segment (two-thirds) filled with heavy hatch shading, and a smaller segment left white. A hand-drawn arrow points to the big segment with a label: ""UP TO 2/3 UNUSED"". The white segment labeled ""USED"". Below, small text: ""INDUSTRY ESTIMATE"". 16:9 widescreen, black ink on white, documentary chart style."
beat_19_p03.mp4,beat_14,p01,beat_14_p01,0.2861,0.0382,beat_33_p01,"﻿Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. A near-black whiteboard frame: the entire background filled with heavy cross-hatching (drawn darkness), and in the center, the single word ""BREAKAGE"" emerging in bold white-space strokes — drawn as thick black letters with the board's white showing through, radiating thin light lines behind it. The word is the only element. 16:9 widescreen, black marker ink, high-contrast reveal sketch style."
beat_30_p05.mp4,beat_14,p01,beat_14_p01,0.3299,0.0478,beat_48_p01,"﻿Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. A near-black whiteboard frame: the entire background filled with heavy cross-hatching (drawn darkness), and in the center, the single word ""BREAKAGE"" emerging in bold white-space strokes — drawn as thick black letters with the board's white showing through, radiating thin light lines behind it. The word is the only element. 16:9 widescreen, black marker ink, high-contrast reveal sketch style."
beat_32_p03.mp4,beat_15,p02,beat_15_p02,0.3114,0.0051,beat_60_p01,"Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. A whiteboard sketch: on the LEFT, a gift card with a small ""1×"" label and a checkmark — fine. On the RIGHT, a calendar with a big hand-drawn ""?"" and a small coin repeating month after month — drawn as repeated coin icons down the page edge. A bold hand-drawn arrow connects the gift card to the calendar, labeled: ""WHAT IF IT BROKE EVERY MONTH?"" The frame sets up the next beat. 16:9 widescreen, black marker ink on white, sketchy documentary style."
beat_51_p01.mp4,beat_15,p02,beat_15_p02,0.3162,0.0048,beat_38_p04,"Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. A whiteboard sketch: on the LEFT, a gift card with a small ""1×"" label and a checkmark — fine. On the RIGHT, a calendar with a big hand-drawn ""?"" and a small coin repeating month after month — drawn as repeated coin icons down the page edge. A bold hand-drawn arrow connects the gift card to the calendar, labeled: ""WHAT IF IT BROKE EVERY MONTH?"" The frame sets up the next beat. 16:9 widescreen, black marker ink on white, sketchy documentary style."
beat_33_p03.mp4,beat_17,p01,beat_17_p01,0.3371,0.0411,beat_09_p01,"﻿Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. A whiteboard sketch of a 1990s gym storefront drawn in bold black marker: a boxy building with a large sign reading ""BALLY TOTAL FITNESS"" in hand-lettered retro-style marker text, neon-tube-style letters drawn with double outlines, a striped awning, and a glass door. The street is simple: a curb, a lamppost, one car drawn boxy and vintage. Hatching on the building shadow. The frame reads clearly as the 90s. 16:9 widescreen, black ink on white, documentary sketch style."
beat_28_p01.mp4,beat_18,p01,beat_18_p01,0.2534,0.0098,beat_58_p02,"﻿Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. A whiteboard sketch: the digits ""1994"" drawn in huge bold black marker strokes in the center, with hatching behind them. Above, smaller hand-drawn text: ""FEDERAL REGULATORS"". Below, a small sketch of a government building with columns. Radiating thin lines around the date (emphasis). The frame is a clean historical marker. 16:9 widescreen, black ink on white, documentary sketch style."
beat_25_p02.mp4,beat_19,p01,beat_19_p01,0.3173,0.0074,beat_20_p01,"﻿Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. A whiteboard sketch: a towering stack of complaint letters — individual envelopes drawn as rectangles with scribbled addresses, piled high with hatching. At the top, a hand-drawn banner: ""600+ CONSUMER COMPLAINTS"". A small stick figure stands beside the stack for scale, tiny. The stack dwarfs the figure. 16:9 widescreen, black ink on white, documentary sketch style."
beat_31_p01.mp4,beat_19,p01,beat_19_p01,0.2847,0.013,beat_33_p03,"﻿Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. A whiteboard sketch: a towering stack of complaint letters — individual envelopes drawn as rectangles with scribbled addresses, piled high with hatching. At the top, a hand-drawn banner: ""600+ CONSUMER COMPLAINTS"". A small stick figure stands beside the stack for scale, tiny. The stack dwarfs the figure. 16:9 widescreen, black ink on white, documentary sketch style."
beat_31_p04.mp4,beat_19,p01,beat_19_p01,0.3053,0.0015,beat_15_p01,"﻿Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. A whiteboard sketch: a towering stack of complaint letters — individual envelopes drawn as rectangles with scribbled addresses, piled high with hatching. At the top, a hand-drawn banner: ""600+ CONSUMER COMPLAINTS"". A small stick figure stands beside the stack for scale, tiny. The stack dwarfs the figure. 16:9 widescreen, black ink on white, documentary sketch style."
beat_22_p03.mp4,beat_19,p02,beat_19_p02,0.3005,0.0122,beat_20_p03,"Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. A whiteboard sketch: a split diagram — LEFT, a newspaper ad sketch with a big hand-drawn ""SHORT-TERM ACCESS"" headline and a smiling figure; RIGHT, the same figure now wrapped in a chain labeled ""3 YEARS"". Between them, a bold hand-drawn arrow with the label ""DELIVERED"". Caption beneath: ""WHAT THEY PROMISED. WHAT THEY DELIVERED."" 16:9, black ink on white, diagram style."
beat_34_p01.mp4,beat_19,p02,beat_19_p02,0.2857,0.0023,beat_17_p02,"Black-and-white hand-drawn whiteboard sketch animation frame, 16:9 widescreen. A whiteboard sketch: a split diagram — LEFT, a newspaper ad sketch with a big hand-drawn ""SHORT-TERM ACCESS"" headline and a smiling figure; RIGHT, the same figure now wrapped in a chain labeled ""3 YEARS"". Between them, a bold hand-drawn arrow with the label ""DELIVERED"". Caption beneath: ""WHAT THEY PROMISED. WHAT THEY DELIVERED."" 16:9, black ink on white, diagram style."
